Jurisdiction of Occurrence,Week Ending Date,Week Ending Date,All Cause,Natural Cause,Septicemia,Malignant neoplasms,Diabetes mellitus,Alzheimer disease,Influenza and pneumonia,Chronic lower respiratory diseases,Other diseases of respiratory system,"Nephritis, nephrotic syndrome and nephrosis","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Diseases of heart,Cerebrovascular diseases,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death),Population
Hawaii,2023,5,63.91,58.59,0.0,12.41,0.7,3.5700000000000003,0.0,0.7,0.0,0.0,0.77,13.72,4.6,0.0,0.0,5740552
Hawaii,2023,6,66.55000000000001,62.370000000000005,0.0,13.93,0.0,2.52,0.0,0.0,0.0,0.0,3.06,13.44,4.5200000000000005,0.0,0.0,5740552
Hawaii,2023,7,79.1,74.76,0.0,15.95,0.0,3.5,0.0,0.0,0.0,0.0,4.52,17.41,5.51,0.0,0.0,7175690
Hawaii,2023,8,68.22,61.67,0.0,12.12,1.47,1.05,0.0,0.0,0.0,0.0,7.03,12.54,5.64,0.77,0.0,5740552
Hawaii,2023,9,40.28,39.44,0.0,7.390000000000001,0.0,0.0,0.0,0.0,0.0,0.0,7.25,6.9,2.44,0.0,0.0,4305414
Idaho,2023,1,67.03,60.78,0.0,12.63,1.07,2.75,1.07,4.08,0.0,0.0,0.0,13.58,3.11,1.6300000000000001,0.0,7858904
Idaho,2023,2,63.26,57.36,0.0,12.57,1.6800000000000002,2.49,0.0,3.5700000000000003,0.0,0.0,0.0,13.89,2.24,0.0,0.0,7858904
Idaho,2023,3,65.92,59.35,0.0,12.27,1.6300000000000001,3.1100000000000003,0.0,3.56,0.0,0.0,0.0,13.85,3.5100000000000002,1.78,1.12,7858904
Idaho,2023,4,80.47,71.42,0.0,15.99,0.0,3.3000000000000003,0.0,4.63,0.0,0.0,0.0,16.75,4.43,0.0,0.0,9823630
Idaho,2023,5,64.44,58.08,0.0,14.1,1.12,3.87,0.0,3.5100000000000002,0.0,0.0,0.0,12.26,3.4699999999999998,0.0,0.0,7858904
Idaho,2023,6,62.9,56.19,0.0,12.73,1.17,1.9900000000000002,0.0,3.15,0.0,0.0,0.0,12.93,2.34,0.0,0.0,7858904
Idaho,2023,7,76.75,68.66,0.0,16.5,1.07,3.04,0.0,3.46,0.0,0.0,0.61,14.9,3.71,0.0,0.0,9823630
Idaho,2023,8,63.68,57.32,0.0,13.79,1.07,2.95,0.0,3.3,0.0,0.0,3.0,11.4,2.85,0.0,0.0,7858904
Idaho,2023,9,37.36,35.94,0.0,7.6899999999999995,0.0,1.98,0.0,2.75,0.0,0.0,2.13,7.73,1.4300000000000002,0.0,0.0,5894178
Illinois,2023,1,73.56,67.34,1.24,13.530000000000001,2.13,2.96,1.69,3.44,1.01,1.75,0.96,16.09,4.4399999999999995,3.23,2.14,50198756
Illinois,2023,2,69.89,63.97,1.31,14.57,1.67,2.51,1.21,2.99,0.95,1.68,0.85,15.549999999999999,4.2700000000000005,1.88,1.29,50198756
Illinois,2023,3,67.9,61.989999999999995,1.19,13.68,1.88,2.13,1.13,2.91,0.98,1.61,0.95,15.649999999999999,4.2,1.99,1.42,50198756
Illinois,2023,4,84.25,76.62,1.38,17.75,1.83,2.95,1.28,3.98,1.1800000000000002,2.16,1.33,18.85,4.91,1.91,1.19,62748445
Illinois,2023,5,65.57,59.78,1.0,13.82,1.75,1.93,0.97,2.74,1.17,1.79,1.18,14.93,3.96,0.71,0.47,50198756
Illinois,2023,6,64.28999999999999,58.57,1.07,13.95,1.69,2.08,0.8200000000000001,2.8499999999999996,0.81,1.66,1.63,14.05,3.65,0.36,0.2,50198756
Illinois,2023,7,78.07,72.66,1.25,16.89,2.09,2.75,1.04,2.98,1.1099999999999999,1.71,3.76,17.55,4.54,0.54,0.16,62748445
Illinois,2023,8,56.11,53.19,0.8600000000000001,12.57,1.27,1.98,0.8200000000000001,2.4299999999999997,0.88,1.33,4.3100000000000005,11.97,3.42,0.41000000000000003,0.27,50198756
Illinois,2023,9,44.07,43.3,0.69,9.719999999999999,0.98,1.41,0.63,1.8599999999999999,0.45000000000000007,1.0,4.58,9.68,2.6799999999999997,0.6,0.38,37649067
Indiana,2023,1,84.59,77.39,1.07,15.61,2.61,2.65,1.57,5.55,1.35,1.6099999999999999,0.0,18.11,4.35,3.76,2.59,27448796
Indiana,2023,2,80.5,73.14,0.95,14.91,2.4699999999999998,2.54,0.94,5.01,1.47,1.6800000000000002,0.16,17.71,3.88,2.46,1.35,27448796
Indiana,2023,3,80.1,73.65,1.13,15.370000000000001,2.82,2.55,1.02,5.16,1.5,1.63,0.15,17.46,3.8600000000000003,2.36,1.52,27448796
Indiana,2023,4,97.78,88.85,1.44,18.78,3.3,3.15,0.91,6.86,1.9,2.08,0.15,21.729999999999997,4.970000000000001,1.96,1.29,34310995
Indiana,2023,5,76.48,69.47,1.04,15.33,2.5700000000000003,2.15,1.07,5.15,1.3900000000000001,1.66,0.16,17.14,3.88,0.89,0.19,27448796
Indiana,2023,6,75.67,68.94,1.08,15.77,2.38,1.88,0.97,4.66,1.21,1.7,0.0,17.03,3.5300000000000002,0.89,0.32,27448796
Indiana,2023,7,89.28,81.5,1.03,19.84,2.75,3.2199999999999998,0.74,5.359999999999999,1.6600000000000001,1.96,0.53,18.98,4.41,0.63,0.0,34310995
Indiana,2023,8,69.46000000000001,65.32,0.78,15.97,2.94,2.2800000000000002,0.89,4.45,1.26,1.55,0.86,14.53,3.6399999999999997,0.76,0.39,27448796
Indiana,2023,9,39.93,39.519999999999996,0.35,9.18,1.3900000000000001,1.76,0.35,2.98,0.9199999999999999,0.94,0.44000000000000006,8.83,2.0300000000000002,1.06,0.78,20586597
Iowa,2023,1,86.2,80.33,0.0,16.53,2.5,3.18,2.08,4.24,1.56,0.96,0.47,20.4,3.9299999999999997,3.31,1.84,12828016
Iowa,2023,2,81.07,75.24,0.0,15.41,2.56,4.05,1.02,4.03,0.75,0.56,0.34,20.64,3.4299999999999997,2.81,1.62,12828016
Iowa,2023,3,78.35,72.16,0.34,15.44,2.0,3.48,0.75,4.050000000000001,0.71,0.47,0.68,18.27,3.0100000000000002,2.84,1.69,12828016
Iowa,2023,4,97.28,89.97999999999999,0.75,19.03,2.42,4.859999999999999,0.68,5.65,0.62,1.12,0.0,23.6,4.33,2.67,1.21,16035020
Iowa,2023,5,74.39999999999999,68.72,0.65,15.28,2.01,2.7199999999999998,0.0,3.81,1.49,1.31,0.34,17.68,2.67,0.44,0.0,12828016
Iowa,2023,6,73.0,66.82,0.0,15.0,2.2800000000000002,2.7199999999999998,0.0,4.05,0.78,1.03,0.31,17.49,3.08,0.0,0.0,12828016
Iowa,2023,7,87.71,81.02,0.34,18.65,2.77,3.3,0.0,4.49,0.71,0.75,0.71,20.52,3.78,0.0,0.0,16035020
Iowa,2023,8,68.07,63.42,0.0,14.73,2.19,3.45,0.0,3.58,0.31,0.0,0.0,16.099999999999998,3.24,0.0,0.0,12828016
Iowa,2023,9,42.589999999999996,41.59,0.0,8.86,1.75,2.24,0.0,2.08,0.0,0.0,0.0,10.91,1.9300000000000002,0.0,0.0,9621012
Kansas,2023,1,83.42,75.74000000000001,0.78,14.55,2.7199999999999998,2.61,2.12,5.07,0.88,0.71,0.0,17.55,3.36,4.19,3.0300000000000002,11762184
Kansas,2023,2,78.56,72.61,0.0,14.28,2.8200000000000003,2.65,0.0,4.42,0.34,0.88,0.0,17.13,3.4,2.1399999999999997,0.44,11762184
Kansas,2023,3,78.99,72.3,0.0,15.07,2.21,2.28,0.48,4.6,0.41,0.44,0.0,16.25,3.51,3.09,2.3499999999999996,11762184
Kansas,2023,4,98.15,89.77,0.0,16.93,3.33,3.0,0.37,6.15,1.26,1.02,1.05,21.47,4.51,0.98,0.34,14702730
Kansas,2023,5,68.9,62.58,0.0,13.91,2.04,1.67,0.34,3.4299999999999997,0.44,1.19,0.74,15.79,3.44,0.48,0.0,11762184
Kansas,2023,6,70.4,64.07,0.0,13.29,2.52,1.97,0.37,3.54,0.34,1.46,1.46,15.36,2.59,0.0,0.0,11762184
Kansas,2023,7,82.27,75.46,0.0,17.31,2.62,1.8699999999999999,0.0,3.5300000000000002,0.41,1.19,3.54,16.73,3.48,0.0,0.0,14702730
Kansas,2023,8,68.28,64.41,0.34,13.74,2.11,1.62,0.0,3.43,0.81,0.85,4.66,12.92,3.4699999999999998,0.0,0.0,11762184
Kansas,2023,9,46.22,45.06,0.34,9.32,1.02,1.46,0.0,2.48,0.0,0.0,4.18,9.07,1.8,0.0,0.0,8821638
